"Cocunut";"Mortgage_YN";"AGE_AT_ORIGINATION";"AGE";"YEARS_WITH_BANK";"MARTIAL_STATUS";"EDUCATION";"EMPLOYMENT";"GENDER";"CUST_INCOME";"CURRENT_ADDRESS_DATE";"CURRENT_JOB_DATE";"CURRENT_WITH_BANK_DATE";"CURRENT_BALANCE_EUR"
42678;"N";NA;53;13;"M";"PHD";"STE";"M";1157,846154;1999-09-06;1991-03-01;2003-12-18;6413,829923
42684;"N";NA;32;8;"S";"BCR";"PVE";"M";423,0769231;2000-01-01;9999-10-01;2009-02-24;127,4126923
42686;"N";NA;65;10;"M";"HGH";"RET";"M";204,0069231;1952-09-30;9999-10-01;2006-10-25;550,3565385
42687;"N";NA;39;11;"D";"BCR";"PVE";"F";1034,938462;2012-09-01;2006-09-01;2005-08-11;87,96876923
42692;"N";NA;56;11;"M";"BCR";"STE";"F";326,5846154;1983-08-28;1995-09-02;2005-07-08;6418,471462
42693;"N";NA;46;1;"S";"HGH";"PVE";"M";538,4615385;2013-04-01;2012-06-01;2015-10-15;184,8432308
42695;"N";NA;52;12;"W";"BCR";"STE";"F";380,1827692;2003-10-10;1993-10-18;2005-04-08;3127,755692
42698;"N";NA;46;6;"M";"BCR";"PVE";"M";361,2358462;2004-01-01;2014-07-01;2010-09-17;1117,254231
42702;"N";NA;53;1;"W";"HGH";"STE";"F";260,0538462;1994-04-30;1986-08-20;2015-10-13;2067,167615
42703;"N";NA;63;1;"M";"HGH";"STE";"M";296,6461538;2013-07-01;2008-01-01;2015-10-08;276,5332308
42707;"N";NA;38;1;"M";"BCR";"PVE";"M";692,3076923;2007-01-01;2006-01-01;2015-10-09;143,9233846
42718;"N";NA;57;11;"W";"HGH";"PVE";"F";486,2347692;1987-05-01;2010-03-01;2005-08-05;785,4351538
42719;"N";NA;36;10;"M";"HGH";"PVE";"F";448,7237692;2013-01-06;2007-04-16;2007-04-19;602,8681538
42720;"N";NA;47;1;"S";"HGH";"STE";"F";192,3076923;1977-01-01;2007-01-01;2015-10-12;339,0276154
42721;"N";NA;57;10;"M";"HGH";"STE";"F";423,0769231;1980-01-01;1980-06-24;2007-02-05;2934,142538
42722;"N";NA;47;12;"M";"HGH";"STE";"M";526,9234615;1987-01-01;1990-02-06;2005-01-05;0
42729;"N";NA;62;10;"M";"BCR";"RET";"F";175,9444615;1978-04-15;9999-10-01;2006-12-02;0
42736;"N";NA;40;7;"S";"HGH";"PVE";"M";365,5974615;1977-02-03;2006-09-01;2009-08-18;186,2671538
42737;"N";NA;24;5;"S";"HGH";"STE";"M";1191,630769;1993-07-27;2012-03-20;2012-03-01;192,9216154
42741;"N";NA;34;2;"M";"HGH";"PVE";"M";166,0538462;1983-07-01;2015-03-25;2015-05-05;1349,529769
42742;"N";NA;64;1;"M";"BCR";"STE";"M";353,8461538;2000-10-15;2001-04-01;2015-10-13;256,9021538
42746;"N";NA;51;2;"M";"HGH";"STE";"F";309,7563846;1980-10-10;1987-05-01;2014-10-16;256,655
42751;"N";NA;52;8;"M";"BCR";"PVE";"F";522,535;1998-01-01;2008-08-12;2008-08-11;3850,458615
42754;"N";NA;40;8;"M";"BCR";"PVE";"F";3223,765308;1977-10-11;2013-11-18;2008-08-22;1448,693846
42755;"N";NA;68;12;"M";"BCR";"RET";"F";355,2218462;1994-12-28;9999-10-01;2005-03-11;226,3195385
42760;"N";NA;50;3;"M";"HGH";"STE";"M";482,3769231;1967-05-17;1989-06-14;2014-03-11;205,6231538
42762;"N";NA;59;1;"S";"HGH";"STE";"F";253,8461538;1958-01-22;1995-01-01;2015-10-12;218,9020769
42765;"N";NA;68;11;"M";"BCR";"RET";"M";783,6576154;1990-01-01;9999-10-01;2005-07-07;485,0295385
42767;"N";NA;63;15;"M";"HGH";"RET";"M";270,5495385;1981-03-01;9999-10-01;2002-06-26;4568,246692
42769;"N";NA;50;5;"M";"SEC";"PVE";"F";179,2153846;2003-02-20;2008-10-01;2012-06-14;4318,601385
42770;"N";NA;47;2;"M";"HGH";"PVE";"M";237,9076923;1970-04-07;2013-04-01;2014-12-16;1068,473231
42771;"N";NA;37;4;"M";"HGH";"STE";"F";295,7899231;2002-08-01;2009-01-01;2012-10-01;0
42776;"N";NA;60;14;"M";"HGH";"RET";"M";296,2046154;1985-04-01;9999-10-01;2003-03-12;5380,942538
42778;"N";NA;27;5;"S";"HGH";"PVE";"F";271,1461538;2005-01-01;2011-09-19;2012-05-23;3961,680692
42782;"N";NA;31;9;"S";"HGH";"STE";"M";373,1692308;1986-03-21;2008-03-10;2008-03-15;1745,049077
42784;"N";NA;40;11;"M";"HGH";"PVE";"F";227,3846154;2009-09-01;2013-01-03;2006-05-22;1122,555923
42785;"N";NA;38;5;"M";"BCR";"STE";"F";322,5943846;2011-01-01;1998-12-02;2011-12-14;266,575
42787;"N";NA;57;4;"M";"BCR";"PVE";"M";600,6902308;2008-11-01;2014-04-01;2012-12-13;3694,390154
42796;"N";NA;53;11;"D";"BCR";"STE";"F";542,0139231;2010-09-01;2006-10-16;2005-09-13;3837,853385
42800;"N";NA;29;1;"S";"HGH";"PVE";"M";960,0692308;2013-03-02;2011-03-31;2015-10-15;1539,056538
42802;"N";NA;61;2;"M";"HGH";"RET";"F";159,2690769;1970-01-01;9999-10-01;2014-09-15;1076,644077
42807;"N";NA;58;11;"M";"BCR";"STE";"M";390,4538462;1959-10-19;1993-09-01;2005-07-11;821,397
42808;"N";NA;60;8;"M";"HGH";"STE";"M";196,7239231;1957-02-11;1980-10-12;2008-11-17;1284,209692
42809;"N";NA;42;3;"S";"HGH";"STE";"F";294,4769231;2013-06-01;2011-01-10;2013-11-05;92,39692308
42811;"N";NA;28;4;"S";"HGH";"STE";"M";303,7076923;1989-09-13;2012-11-01;2012-10-31;1454,207
42819;"N";NA;37;2;"M";"HGH";"PVE";"M";173,3292308;2010-04-01;2015-03-01;2015-05-12;1039,345077
42822;"N";NA;32;4;"S";"HGH";"PVE";"M";856,7230769;1985-06-03;2013-03-24;2013-04-01;2011,333385
42825;"N";NA;30;1;"S";"HGH";"PVE";"M";346,1538462;1987-11-01;2010-06-01;2015-10-06;355,6147692
42827;"N";NA;63;1;"M";"HGH";"STE";"M";407,6923077;2000-01-01;1995-12-01;2015-10-09;121,634
42830;"N";NA;62;10;"M";"HGH";"RET";"M";369,2307692;1994-02-04;9999-10-01;2006-11-01;150,3100769
42831;"N";NA;62;11;"M";"PRS";"RET";"M";321,4907692;1981-05-01;9999-10-01;2005-08-03;671,6541538
42832;"N";NA;25;1;"S";"HGH";"PVE";"M";192,3076923;1992-07-22;2013-06-01;2015-10-09;165,4093846
42834;"N";NA;38;2;"M";"HGH";"PVE";"F";179,2923077;2001-09-01;2010-07-01;2015-02-20;3038,002462
42835;"N";NA;67;1;"M";"HGH";"RET";"M";169,2307692;2008-12-16;9999-10-01;2015-09-25;75,15184615
42837;"N";NA;49;14;"M";"HGH";"PVE";"F";497,2908462;1992-01-25;2002-09-01;2002-09-01;0
42840;"N";NA;29;6;"M";"HGH";"STE";"F";245,2538462;1988-12-08;2013-11-14;2010-11-10;66,84115385
42842;"N";NA;44;2;"M";"HGH";"PVE";"F";181,9;1993-09-24;2011-08-25;2015-01-30;76,92507692
42843;"N";NA;46;5;"M";"SEC";"PVE";"M";211,6538462;1971-06-18;2007-10-01;2011-12-26;3027,48
42846;"N";NA;63;1;"W";"HGH";"RET";"F";176,9230769;1954-10-19;2000-12-29;2015-10-12;367,144
42851;"N";NA;64;12;"S";"HGH";"RET";"F";274,1664615;1953-03-01;9999-10-01;2005-06-08;0
42853;"N";NA;57;1;"M";"BCR";"RET";"M";323,0769231;1990-01-01;2000-12-31;2015-10-14;128,8893846
42854;"N";NA;52;2;"M";"HGH";"PVE";"F";174,7307692;1965-11-06;2014-05-01;2014-11-07;921,9953077
42856;"N";NA;48;12;"M";"HGH";"RET";"M";227,7766923;2003-07-10;9999-10-01;2004-11-29;4845,583692
42857;"N";NA;60;14;"M";"HGH";"RET";"M";448,4046154;2008-10-10;9999-10-01;2003-01-15;1440,015615
42864;"N";NA;53;9;"M";"HGH";"PVE";"M";442,0901538;1985-07-20;2015-10-01;2007-08-20;0
42866;"N";NA;59;10;"D";"BCR";"OTH";"F";278,7808462;2006-11-23;9999-10-01;2006-10-10;291,8689231
42868;"N";NA;58;10;"M";"BCR";"STE";"M";411,4101538;2002-05-01;1982-04-09;2006-12-19;7121,962
42872;"N";NA;31;5;"S";"BCR";"PVE";"M";851,223;2009-01-01;2011-08-27;2011-08-31;0
42876;"N";NA;67;8;"M";"HGH";"RET";"M";241,1506154;2000-01-01;9999-10-01;2009-02-10;37,28992308
42879;"N";NA;57;10;"M";"HGH";"PVE";"M";175,5462308;1995-01-01;2011-06-01;2007-02-16;1448,693846
42880;"N";NA;47;12;"M";"BCR";"STE";"F";487,5793846;1999-01-01;1996-01-22;2005-05-19;324,8401538
42882;"N";NA;39;12;"M";"BCR";"PVE";"M";492,6153846;2007-01-01;2011-03-14;2005-06-24;8735,784923
42883;"N";NA;47;8;"M";"HGH";"PVE";"F";170,4538462;1991-05-05;2013-09-16;2009-04-04;105,1494615
42891;"N";NA;55;1;"M";"HGH";"STE";"M";300,6261538;1993-10-01;1988-08-08;2015-10-14;1513,389231
42892;"N";NA;43;14;"M";"BCR";"PVE";"M";3531,046154;1998-08-12;2007-11-05;2002-12-17;5642,340231
42897;"N";NA;51;10;"D";"BCR";"PVE";"F";255,2618462;1998-05-01;2007-03-01;2006-09-15;4415,412308
42900;"N";NA;66;4;"W";"HGH";"RET";"F";223,772;1981-07-10;9999-10-01;2012-10-13;0
42903;"N";NA;51;11;"D";"HGH";"STE";"F";196,8584615;2002-09-01;2002-01-14;2005-07-14;1939,758692
42904;"N";NA;61;9;"M";"PRS";"PVE";"F";285;1992-01-01;2012-12-01;2007-10-03;1959,475615
42910;"N";NA;56;11;"M";"BCR";"STE";"M";0,769230769;1988-05-01;1986-09-04;2005-12-10;2205,095077
42912;"N";NA;62;1;"M";"HGH";"PVE";"M";192,2086923;1982-02-01;1985-09-27;2015-10-13;1247,214308
42916;"N";NA;64;6;"M";"HGH";"STE";"M";296,7338462;1984-01-01;1990-07-01;2011-05-30;3337,124
42918;"N";NA;39;10;"S";"HGH";"PVE";"M";595,5321538;2006-05-01;2007-04-16;2007-04-19;6216,870385
42925;"N";NA;34;10;"S";"MAS";"PVE";"M";298,7923077;1983-11-11;2009-08-01;2006-12-28;58,33169231
42927;"N";NA;60;11;"M";"BCR";"RET";"F";258,8886154;1986-04-05;9999-10-01;2005-08-08;4399,222385
42928;"N";NA;44;3;"S";"HGH";"STE";"F";349,2384615;1973-03-22;2013-05-27;2014-06-12;1400,703077
42934;"N";NA;64;8;"M";"BCR";"RET";"F";243,9526923;1993-09-01;9999-10-01;2009-07-03;1979,650308
42937;"N";NA;50;10;"M";"PRS";"PVE";"F";239,5771538;2007-04-13;2016-07-01;2007-04-04;601,8704615
42943;"N";NA;56;1;"M";"HGH";"STE";"M";392,3076923;2000-01-01;2000-01-01;2015-10-26;160,5761538
42946;"N";NA;39;12;"M";"HGH";"PVE";"M";403,8461538;1978-10-12;2000-12-05;2005-06-24;31,763
42949;"N";NA;67;6;"M";"HGH";"RET";"M";323,7706923;2006-03-20;9999-10-01;2011-02-24;4949,912462
42954;"N";NA;44;10;"M";"HGH";"PVE";"M";241,6461538;2002-03-01;2006-08-21;2006-09-15;442,2653846
42956;"N";NA;55;8;"M";"HGH";"STE";"M";338,6415385;1966-04-15;2006-02-23;2008-10-29;356,6165385
42957;"N";NA;44;12;"M";"BCR";"STE";"F";331,9262308;2006-02-16;2001-11-01;2004-09-22;977,5691538
42962;"N";NA;42;4;"M";"BCR";"STE";"F";541,1969231;2000-05-01;2012-01-04;2012-10-11;59,63746154
42963;"N";NA;36;1;"S";"HGH";"STE";"M";267,2384615;1981-06-03;2009-12-28;2015-10-26;1612,156538
42968;"N";NA;43;15;"M";"HGH";"PVE";"M";1181,746154;2008-04-01;2002-01-27;2002-03-08;5252,301615
42969;"N";NA;35;1;"M";"HGH";"PVE";"F";164,7846154;2005-01-01;2014-11-06;2015-10-28;316,1509231
42975;"N";NA;60;1;"M";"HGH";"PVE";"F";198,0769231;1975-07-01;2010-11-13;2015-10-29;156,6155385
42976;"N";NA;33;11;"S";"HGH";"PVE";"M";176,2281538;1984-08-07;2015-04-01;2006-06-02;181,8244615
42982;"N";NA;57;14;"M";"HGH";"STE";"M";357,291;1960-02-12;1985-07-06;2003-03-25;2809,666385
42983;"N";NA;60;11;"M";"BCR";"STE";"M";440,8896923;1984-08-02;1978-05-16;2006-05-25;748,761
42986;"N";NA;56;1;"M";"HGH";"STE";"F";301,5;1980-03-01;1999-09-01;2015-10-14;76,92307692
42988;"N";NA;49;2;"M";"HGH";"PVE";"F";539,3096923;1993-01-01;2001-07-30;2014-12-09;0
42992;"N";NA;55;9;"M";"PRS";"PVE";"M";147,0575385;1962-06-04;2015-04-01;2007-12-21;74,74269231
42994;"N";NA;56;12;"M";"BCR";"STE";"F";349,9538462;1961-08-27;2004-05-25;2004-09-01;1446,146538
42999;"N";NA;59;10;"M";"SEC";"PVE";"M";269,7692308;2004-07-19;1982-04-01;2006-07-21;3074,353077
43003;"N";NA;28;4;"S";"HGH";"PVE";"M";358,9743077;1989-08-20;2014-02-01;2012-12-17;4184,104308
43005;"N";NA;56;3;"M";"HGH";"PVE";"M";304,0076923;1961-05-14;2003-10-01;2013-12-23;119,2598462
43006;"N";NA;26;1;"M";"HGH";"PVE";"F";230,7692308;1991-10-23;2012-10-01;2015-10-16;221,8382308
43014;"N";NA;31;7;"M";"HGH";"PVE";"F";238,4615385;2005-05-01;2012-05-08;2010-06-08;204,3055385
43016;"N";NA;59;1;"M";"HGH";"PVE";"M";269,2307692;1978-01-01;2011-01-01;2015-10-30;212,6346923
43021;"N";NA;56;7;"M";"HGH";"STE";"F";343,8846154;1968-01-01;1991-06-01;2010-04-28;0
43024;"N";NA;36;11;"M";"BCR";"PVE";"F";325,8563846;2008-04-09;2009-03-07;2005-10-05;1238,856846
43025;"N";NA;23;2;"S";"HGH";"PVE";"M";334,2846154;9999-10-01;2014-10-01;2014-10-14;3501,757308
43027;"N";NA;73;9;"M";"HGH";"RET";"M";174,5833077;1980-10-05;9999-10-01;2007-12-06;1697,520538
43028;"N";NA;35;2;"S";"HGH";"STE";"F";437,8817692;1982-11-15;2006-03-24;2014-09-02;6047,966538
43029;"N";NA;57;11;"M";"HGH";"STE";"M";285,2100769;1995-10-01;2013-07-01;2005-07-22;757,4394615
43032;"N";NA;50;1;"M";"BCR";"STE";"M";302,2615385;2005-07-01;2001-09-01;2015-10-07;76,92307692
43039;"N";NA;41;9;"M";"HGH";"STE";"M";451,8926154;1980-01-01;2006-05-24;2007-08-21;5058,494
43040;"N";NA;31;6;"S";"HGH";"PVE";"F";196,1846154;1986-08-18;2010-12-01;2010-11-30;758,7211538
43042;"N";NA;55;12;"M";"HGH";"STE";"F";310,3756154;2004-12-25;1998-07-02;2005-06-09;1138,202923
