"Cocunut";"Mortgage_YN";"AGE_AT_ORIGINATION";"AGE";"YEARS_WITH_BANK";"MARTIAL_STATUS";"EDUCATION";"EMPLOYMENT";"GENDER";"CUST_INCOME";"CURRENT_ADDRESS_DATE";"CURRENT_JOB_DATE";"CURRENT_WITH_BANK_DATE";"CURRENT_BALANCE_EUR"
42637;"N";NA;59;11;"M";"BCR";"STE";"F";364,0023077;1994-12-16;1988-05-01;2005-10-29;729,6619231
42642;"N";NA;31;8;"S";"HGH";"PVE";"M";174,8153846;1986-06-05;2013-11-01;2008-08-19;2096,265769
42644;"N";NA;24;1;"S";"HGH";"PVE";"F";269,2307692;2014-10-21;2012-10-10;2015-10-14;201,3857692
42646;"N";NA;28;1;"S";"HGH";"PVE";"F";316,7615385;1989-02-26;2015-01-01;2015-10-14;575,6796923
42649;"N";NA;42;8;"S";"HGH";"STE";"M";211;1975-09-07;2009-12-10;2008-08-30;3961,680692
42658;"N";NA;27;3;"S";"BCR";"PVE";"F";617,9961538;2014-12-01;2014-07-01;2014-06-25;0
42659;"N";NA;30;1;"S";"PRS";"PVE";"M";173,7538462;1987-12-27;2009-07-15;2015-10-14;2173,040385
42661;"N";NA;55;12;"S";"BCR";"STE";"F";391,7941538;2001-06-05;1987-07-08;2005-06-27;1977,466923
42663;"N";NA;64;8;"D";"HGH";"RET";"F";196,9378462;2007-07-31;9999-10-01;2009-05-25;641,2936154
42664;"N";NA;61;1;"M";"HGH";"RET";"M";205,2384615;1956-04-11;9999-10-01;2015-10-08;76,92346154
42665;"N";NA;55;11;"M";"HGH";"STE";"F";239,2538462;1982-04-25;1984-05-14;2005-07-13;3694,390154
42671;"N";NA;40;4;"M";"HGH";"PVE";"F";388,4985385;2001-04-04;2012-10-10;2012-08-14;151,8754615
42676;"N";NA;61;13;"S";"HGH";"STE";"M";387,0004615;1956-08-27;1988-04-01;2004-06-22;2708,455154
