AGE;YEARS_WITH_BANK;MARITAL_STATUS;EDUCATION;EMPLOYMENT;GENDER;INCOME;ADDRESS_DATE;JOB_DATE;WITH_BANK_DATE;BALANCE
58;10;M;HGH;STE;M;285.98;2001-01-01;2015-01-13;2007-05-25;2398.69
51;11;M;BCR;STE;F;456.55;2011-10-04;2015-08-15;2005-07-11;4153.85
67;10;M;HGH;RET;F;230.89;1975-10-19;1992-07-10;2007-04-23;790.38
70;3;D;HGH;RET;F;241.84;2003-02-01;;2014-04-18;1185.58
56;0;M;HGH;SFE;F;180.77;2003-05-01;2015-03-01;2016-10-06;2307.69
49;0;M;BCR;PVE;M;523.08;2016-03-01;2008-10-01;2016-10-07;387.64
58;1;W;HGH;RET;M;285.64;1959-08-27;2000-09-27;2015-07-11;2307.69
64;0;M;HGH;RET;M;163.59;1953-03-26;;2016-10-06;2371.15
21;1;S;HGH;PVE;M;315.53;1996-09-25;2016-04-01;2015-12-21;2307.69
34;0;S;HGH;PVE;M;176.63;1983-09-20;2016-03-01;2016-10-06;2307.69
40;7;M;BCR;STE;M;549.39;2008-05-19;2001-02-01;2009-10-06;692.31
58;9;M;HGH;PVE;F;165.35;2010-10-14;2011-07-06;2007-10-03;4469.75
22;2;S;HGH;PVE;M;283.54;1995-03-22;2015-10-01;2015-05-14;2307.69
60;8;M;BCR;TEA;M;505.91;1975-01-01;;2008-08-21;123.85
33;3;M;HGH;PVE;M;343.04;1984-09-19;2010-04-22;2014-04-29;4615.38
48;8;M;HGH;STE;M;183.47;1969-04-30;1997-04-07;2008-11-18;5384.62
49;11;M;HGH;PVE;F;285.65;2002-01-01;1990-11-01;2005-09-26;5784.39
49;0;M;HGH;STE;F;315.38;1995-01-01;1995-12-06;2016-10-08;289.43
36;4;M;HGH;PVE;M;281.77;2010-02-02;2012-09-01;2012-11-26;2974.95
58;9;M;HGH;RET;F;286.7;1978-10-03;;2007-11-21;4615.38
67;8;M;HGH;RET;M;311.72;2006-01-01;;2009-01-05;1190.01
63;11;M;HGH;RET;F;246.05;1990-12-31;;2006-02-03;3319.62
48;2;D;HGH;STE;F;276.92;1989-03-01;2006-05-01;2014-09-23;285.15
55;4;M;BCR;RET;M;414.45;1966-05-01;;2012-11-06;2307.69
62;5;W;HGH;RET;F;251.12;1975-10-01;1997-08-20;2012-06-02;1776.14
56;11;M;HGH;PVE;F;450.24;2000-12-04;2016-07-01;2005-12-21;1990.79
34;7;M;HGH;STE;F;369.83;2005-01-01;2013-09-01;2009-10-29;2307.69
56;11;W;HGH;STE;F;360.78;1991-12-01;1983-11-01;2005-11-07;7831.34
61;0;M;HGH;STE;F;255.35;2000-01-01;1982-09-15;2016-10-06;4615.38
58;2;D;HGH;PVE;M;246.65;2004-07-15;2014-07-01;2015-02-19;2307.69
60;4;M;PRS;PVE;M;312.53;1964-09-01;1981-09-02;2012-12-07;2307.69
65;11;M;HGH;RET;M;199.96;1980-03-01;;2005-10-17;716.68
39;11;M;HGH;STE;F;274.58;2000-07-01;1998-11-16;2006-02-09;3242.76
29;1;M;BCR;PVE;F;253.85;2015-01-01;2014-12-01;2015-12-11;171.08
45;2;D;HGH;STE;M;386.93;1972-04-02;1997-08-11;2015-05-12;831.18
33;3;M;HGH;PVE;F;525.86;2008-08-01;2008-11-01;2014-01-20;212.9
49;6;M;BCR;STE;F;361.65;2002-09-01;2004-09-01;2011-02-01;2307.69
51;11;M;HGH;STE;F;265.61;1989-08-19;2005-06-06;2006-02-14;2307.69
65;11;D;HGH;RET;F;213.56;1998-06-01;;2005-11-18;4110.0
26;6;S;HGH;PVE;M;248.83;1991-10-14;2015-04-28;2011-05-06;948.46
57;14;M;BCR;RET;M;326.46;1999-12-31;;2002-11-18;7692.31
54;12;M;BCR;STE;M;411.18;1994-07-01;1995-06-01;2005-05-05;7011.38
65;10;W;HGH;RET;F;158.33;2001-01-19;;2006-10-26;2703.12
53;4;M;HGH;PVE;F;204.35;2006-01-30;2012-09-01;2012-11-22;2307.69
66;2;W;HGH;RET;F;191.77;1992-12-15;;2015-01-27;5097.98
52;11;M;HGH;PVE;M;239.54;1990-09-04;2008-10-31;2005-09-30;2307.69
32;9;M;HGH;PVE;F;297.15;2007-01-01;2006-12-09;2007-09-21;7668.69
67;10;M;BCR;RET;F;307.85;1987-09-01;;2006-12-19;1636.1
42;6;M;HGH;PVE;M;258.8;2005-07-30;2011-06-01;2010-08-19;2093.39
41;10;M;HGH;STE;M;439.51;2005-05-01;2009-03-25;2007-01-17;2307.69
40;9;M;BCR;STE;M;376.92;2014-09-01;1996-09-16;2008-03-03;474.58
29;2;M;HGH;STE;M;343.35;1988-07-07;2010-05-04;2015-06-18;7692.31
62;0;M;HGH;RET;F;214.26;1995-03-01;2001-12-09;2016-09-21;291.38
62;10;M;BCR;PVE;M;192.31;2001-09-23;2008-04-01;2006-07-07;1067.02
49;11;D;HGH;STE;F;504.06;2016-01-01;2016-07-01;2005-12-29;6654.61
54;13;M;HGH;PVE;M;1427.11;1963-07-22;2001-05-20;2003-07-12;5269.91
31;4;M;BCR;PVE;F;400.02;2015-01-01;2007-01-27;2012-10-23;153.77
39;5;M;HGH;PVE;F;169.41;2000-02-20;2008-11-08;2011-08-25;1650.2
71;4;W;BCR;RET;F;176.75;1953-05-09;;2013-01-22;2884.9
38;12;M;BCR;SFE;M;567.81;2001-11-26;2011-06-01;2005-05-09;2307.69
30;1;M;MAS;PVE;F;452.63;2015-01-27;2015-04-01;2016-07-01;7692.31
36;6;S;BCR;PVE;M;657.16;2014-09-01;2015-09-24;2010-10-19;1580.77
34;6;M;HGH;PVE;M;1063.25;2010-10-10;2012-02-27;2010-10-13;7692.31
62;11;W;HGH;STE;M;223.87;2013-02-01;2005-11-21;2005-11-23;2446.51
52;12;M;BCR;SFE;M;230.77;1970-01-01;2013-04-11;2004-12-27;2307.69
51;7;M;HGH;STE;F;230.13;1993-05-02;2011-03-08;2010-03-08;3082.5
68;10;M;BCR;RET;F;200.8;2013-06-01;;2007-05-28;3517.21
69;11;W;HGH;RET;F;240.15;1998-12-04;;2005-08-05;3280.1
33;2;M;HGH;PVE;M;281.33;1999-01-01;2014-02-10;2014-10-20;2307.69
29;4;M;BCR;PVE;F;242.53;2013-06-01;2014-10-15;2012-11-23;4615.38
68;6;W;HGH;RET;F;527.87;1949-03-24;;2011-01-18;513.75
42;10;S;BCR;STE;M;387.46;2014-06-07;2006-09-01;2007-06-04;1000.0
70;12;M;BCR;RET;M;520.7;1980-01-01;;2005-06-28;1659.81
68;1;M;BCR;RET;M;255.14;1990-01-01;;2016-03-11;4742.31
31;6;M;HGH;PVE;M;530.68;1992-01-01;2014-02-01;2011-01-28;7692.31
54;12;M;BCR;STE;F;445.92;1999-03-02;2002-04-25;2005-05-23;1281.08
42;9;M;BCR;PVE;M;237.12;1988-11-01;2007-06-15;2007-07-27;406.6
70;12;D;HGH;RET;M;272.48;2012-05-01;;2005-02-18;790.38
40;4;M;HGH;PVE;M;179.98;2008-10-01;2014-10-01;2013-03-01;3692.31
38;0;;HGH;PVE;F;162.52;1979-02-23;2006-09-01;2016-10-05;2307.69
51;12;M;HGH;STE;M;239.63;1966-11-29;2013-11-04;2004-10-09;4615.38
48;2;M;HGH;PVE;F;307.69;1987-01-01;2007-03-26;2014-12-06;277.15
60;0;M;SEC;RET;F;184.62;1980-01-01;2001-12-24;2016-10-06;180.34
67;9;M;HGH;RET;F;389.58;2002-08-01;1993-04-05;2008-01-17;3675.29
48;12;M;SEC;PVE;M;310.85;1999-11-17;1997-06-01;2005-04-18;2307.69
41;13;M;HGH;OTH;F;1024.55;2004-12-07;;2003-09-10;5076.92
36;10;M;BCR;STE;F;488.81;2013-09-01;2014-08-13;2006-12-12;4615.38
26;4;S;HGH;STE;F;258.89;1991-10-31;2011-10-24;2012-12-26;1897.73
56;11;M;HGH;STE;M;273.57;2015-01-15;1989-08-09;2005-07-19;4615.38
67;10;D;BCR;RET;F;272.39;1992-01-01;;2007-04-20;987.98
53;13;M;HGH;PVE;M;177.09;1981-01-01;2006-04-03;2004-02-28;603.37
34;7;M;HGH;PVE;M;254.7;2013-01-01;2011-01-10;2009-09-03;7493.41
33;2;S;HGH;PVE;M;306.78;1987-06-30;2012-10-01;2014-11-15;721.46
43;11;M;HGH;PVE;F;397.88;2007-09-01;2011-11-01;2005-07-09;1687.25
44;3;M;BCR;PVE;F;407.69;2010-01-01;2003-12-01;2013-11-26;467.27
38;1;M;HGH;PVE;F;467.7;1979-09-13;2015-07-01;2015-07-21;2307.69
34;7;M;HGH;PVE;M;428.58;2010-11-06;2006-03-06;2010-07-01;2076.92
27;5;S;HGH;PVE;M;283.85;2013-02-20;2014-12-01;2011-12-29;8326.01
54;11;D;BCR;STE;M;403.85;1996-09-01;1983-07-01;2005-08-03;245.54
50;2;M;HGH;PVE;M;493.01;2005-06-01;2012-05-21;2014-10-01;4615.38
29;4;S;HGH;PVE;M;233.0;2001-01-01;2012-08-01;2013-06-21;4615.38
40;0;M;HGH;PVE;M;343.49;1977-04-09;;2016-10-04;2307.69
43;9;M;HGH;PVE;F;196.41;1993-05-01;2009-05-29;2008-01-23;2077.96
68;1;M;HGH;RET;M;405.13;2005-02-24;;2015-07-13;5366.71
38;14;S;HGH;PVE;M;165.76;1997-09-27;2016-09-08;2003-03-07;2434.61
62;5;M;HGH;STE;F;266.69;1987-05-01;2014-12-01;2011-12-28;3063.51
51;2;M;HGH;PVE;F;181.47;2004-01-01;2004-01-01;2015-01-14;613.5
44;14;S;BCR;PVE;F;1216.54;1982-02-01;2003-03-10;2003-03-21;1461.54
38;4;M;HGH;PVE;M;268.05;1993-05-01;2013-01-01;2012-11-15;2307.69
27;0;S;HGH;PVE;M;340.58;2007-01-01;2014-01-15;2016-10-06;7692.31
47;9;S;HGH;SFE;F;161.33;1999-05-01;2008-01-01;2008-01-18;3895.38
64;0;M;HGH;RET;F;205.48;2000-01-01;;2016-10-07;855.27
49;11;M;BCR;STE;F;278.29;2008-02-01;2013-09-03;2005-12-21;4615.38
44;1;M;HGH;SFE;M;171.26;1973-09-14;2009-08-28;2016-06-29;4615.38
50;12;M;BCR;STE;M;388.11;2011-01-18;2001-09-03;2004-07-28;876.42
57;12;M;HGH;STE;F;262.67;2003-09-03;1995-07-01;2004-07-21;2307.69
43;4;S;HGH;PVE;F;398.15;2011-05-01;2011-02-22;2013-01-31;553.27
64;12;M;HGH;RET;M;256.05;1987-11-01;;2004-09-16;5366.71
28;1;S;BCR;PVE;M;384.62;1989-02-21;2014-01-01;2016-06-21;237.61
51;10;D;PHD;STE;F;911.9;1993-01-01;2013-04-15;2007-02-09;7692.31
57;11;W;PRS;STE;F;242.91;1991-01-07;1986-11-24;2006-06-12;1900.04
46;11;M;HGH;PVE;M;633.15;1971-08-10;2010-11-01;2006-03-27;2307.69
64;11;M;HGH;RET;M;212.66;1958-07-01;;2006-05-09;3477.69
38;5;M;HGH;PVE;F;316.92;2007-11-22;2010-01-01;2012-06-14;308.99
48;12;M;HGH;PVE;M;341.94;1975-06-01;1997-08-01;2005-04-13;3909.94
27;2;S;HGH;PVE;M;418.8;2013-05-01;2015-04-01;2015-03-24;1185.58
36;8;S;BCR;STE;F;598.68;2010-01-01;2013-08-01;2009-05-22;4615.38
35;11;S;HGH;PVE;M;380.61;2000-03-10;2009-04-01;2005-07-26;6923.08
60;0;M;HGH;PVE;M;269.23;1970-10-01;2005-03-01;2016-10-08;270.53
