MORTGAGE;MORTGAGE_TAKING_AGE;AGE;YEARS_WITH_BANK;MARITAL_STATUS;EDUCATION;EMPLOYMENT;GENDER;INCOME;ADDRESS_DATE;JOB_DATE;WITH_BANK_DATE;BALANCE
Y;33;34;11;M;BCR;OTH;M;1097.68;2010-09-01;;2005-08-17;38266.13
Y;36;37;1;D;BCR;PVE;M;25741.92;2014-10-04;2012-12-06;2015-09-21;78483.38
Y;39;40;10;M;BCR;PVE;F;930.92;2005-04-01;2006-07-24;2006-07-24;49318.49
Y;46;48;11;S;BCR;STE;F;356.95;2005-04-18;1992-09-01;2005-09-26;25869.89
Y;33;35;11;M;BCR;PVE;F;831.66;1982-11-17;2009-03-01;2005-11-24;26359.96
Y;42;43;9;M;PHD;STE;F;1050.77;1974-02-19;2004-01-01;2008-06-20;17283.48
Y;42;44;1;M;BCR;STE;M;785.35;2007-07-17;2004-08-01;2015-07-27;19948.34
Y;42;43;11;M;HGH;PVE;F;463.52;2015-11-02;2009-05-01;2005-09-07;31292.1
Y;33;35;1;M;HGH;STE;F;254.14;2016-01-01;2010-07-01;2015-10-06;22212.69
Y;47;48;4;M;BCR;PVE;M;1100.31;2000-05-01;1995-03-06;2012-12-04;31118.52
Y;39;40;13;M;MAS;PVE;M;3057.87;2011-12-15;2004-06-01;2004-06-02;113174.68
Y;44;45;14;M;HGH;PVE;M;3623.18;2007-05-01;1994-11-01;2003-01-10;63488.58
Y;45;46;11;M;HGH;PVE;M;393.62;1971-03-01;1991-04-01;2005-08-29;24066.2
Y;47;48;1;M;HGH;PVE;M;219.98;2014-09-10;2000-02-01;2015-10-28;28003.21
Y;55;57;12;M;BCR;STE;F;874.41;1996-10-18;1987-04-05;2005-05-28;13623.81
Y;55;56;13;M;BCR;PVE;M;162.96;1998-12-14;2007-10-30;2003-10-01;11545.21
Y;38;40;13;M;HGH;PVE;M;2022.64;1988-06-02;2009-03-01;2003-07-07;29742.56
Y;41;42;9;M;BCR;PVE;M;949.65;2011-11-07;2011-10-01;2007-08-10;18538.61
Y;22;23;2;S;HGH;PVE;M;207.95;2014-01-01;2016-04-10;2014-12-26;10387.34
Y;48;49;12;D;HGH;STE;F;432.52;1988-03-01;2004-05-19;2004-07-13;27481.58
Y;36;38;13;S;HGH;PVE;M;787.62;2012-02-01;2007-08-13;2004-06-08;41027.12
Y;31;33;9;S;MAS;PVE;M;720.31;2014-02-01;2009-12-15;2008-02-05;41548.78
Y;36;37;9;M;BCR;PVE;F;599.83;2007-06-20;2008-03-05;2008-03-10;69797.34
Y;38;39;11;S;BCR;SFE;F;400.28;2011-11-02;2013-12-04;2005-11-04;187940.65
Y;30;31;2;M;BCR;PVE;F;480.48;2011-10-07;2014-05-01;2015-04-27;31116.96
Y;26;27;2;S;BCR;PVE;F;657.14;2015-01-01;2015-02-01;2014-12-25;10751.61
Y;36;37;12;M;BCR;PVE;F;632.48;1980-04-06;2005-04-05;2005-02-09;55931.09
Y;39;41;12;M;BCR;STE;F;451.19;2007-05-17;2006-11-16;2004-12-27;51920.9
Y;35;36;9;S;BCR;PVE;M;573.03;2010-10-05;2007-09-20;2007-09-26;41006.84
Y;33;34;9;S;BCR;PVE;F;687.49;2007-06-01;2008-03-03;2007-08-08;20848.9
Y;37;39;9;D;BCR;PVE;M;1080.05;2015-12-01;2008-01-01;2008-01-03;49338.2
Y;29;31;10;S;BCR;PVE;M;1745.26;2014-01-01;2013-03-01;2007-06-05;62758.09
Y;33;34;8;M;HGH;PVE;M;484.87;2003-01-01;2010-09-01;2009-02-20;22799.14
Y;63;64;13;M;BCR;RET;F;462.39;1989-09-01;;2003-12-12;15537.61
Y;37;38;10;S;MAS;PVE;F;2008.28;2010-03-01;2008-08-18;2006-12-23;21293.29
Y;43;44;13;M;BCR;PVE;M;1799.18;2012-01-01;2004-04-05;2004-04-08;61169.47
Y;41;42;15;M;BCR;SFE;M;2083.33;1975-08-24;2008-03-01;2002-02-09;93496.81
Y;45;46;10;M;MAS;STE;M;741.43;2010-12-01;2014-10-01;2007-03-17;66068.44
Y;48;49;11;M;HGH;PVE;F;448.49;1996-01-01;2005-10-03;2005-10-15;8506.33
Y;53;55;13;M;PHD;STE;M;1050.65;2008-11-03;1987-01-01;2003-11-28;42307.86
Y;45;47;14;M;BCR;STE;M;810.69;2015-04-01;2005-11-01;2002-10-29;36877.35
Y;42;43;15;M;MAS;PVE;F;1453.49;2004-09-01;2003-03-01;2001-11-15;66554.76
Y;33;34;8;S;PHD;STE;M;920.48;1992-06-20;2009-02-02;2008-11-24;37482.11
Y;43;45;6;M;HGH;STE;M;326.97;2015-04-01;1999-02-01;2010-11-24;18516.32
Y;38;40;12;M;BCR;PVE;F;2831.09;1977-12-14;2006-05-15;2005-04-25;54496.88
Y;53;54;13;W;BCR;STE;F;581.34;2004-01-01;1990-10-08;2004-03-17;36707.83
Y;34;35;12;M;HGH;PVE;M;536.05;1983-05-01;2009-03-04;2005-05-17;18581.1
Y;50;51;11;M;BCR;PVE;M;656.99;1966-02-21;1994-07-20;2005-10-25;25355.98
Y;51;53;11;M;BCR;SFE;F;505.14;1996-06-01;2011-01-26;2005-08-31;32422.7
Y;34;35;11;S;PHD;STE;F;1141.21;1982-05-18;2007-05-01;2006-01-26;60472.01
Y;50;52;12;M;BCR;PVE;M;2328.58;1993-09-09;2011-04-21;2005-05-25;21632.38
Y;51;52;15;M;BCR;PVE;F;465.69;2009-06-19;2008-08-01;2001-09-14;50235.5
Y;34;35;10;M;BCR;PVE;F;1032.06;2009-10-12;2011-02-03;2007-03-12;19822.08
Y;36;37;6;M;HGH;SFE;F;358.98;2015-09-01;2013-01-16;2011-02-25;50872.91
Y;36;37;10;M;HGH;PVE;F;478.25;2001-11-13;2006-09-04;2006-09-14;27546.04
Y;59;60;1;M;PHD;STE;F;1211.84;2003-04-01;1991-09-23;2016-02-09;28095.23
Y;34;35;6;S;BCR;PVE;F;1183.68;2015-09-01;2010-11-01;2010-11-11;36590.67
Y;27;29;5;S;MAS;STE;M;846.15;2013-05-01;2013-10-01;2011-07-15;31456.77
Y;34;36;9;M;BCR;PVE;F;398.57;2009-06-08;2011-06-01;2007-07-30;43372.34
Y;36;37;1;M;BCR;PVE;M;2890.72;2013-10-04;2008-04-01;2016-02-04;101504.27
Y;55;56;10;S;BCR;STE;F;447.86;1997-01-01;2010-02-01;2006-09-09;16046.69
Y;36;37;9;S;BCR;PVE;M;1163.18;1989-11-29;2007-12-03;2007-12-12;23369.25
Y;31;33;2;M;BCR;PVE;F;308.92;2015-04-01;2014-07-14;2015-01-06;19516.02
Y;28;30;2;S;HGH;STE;M;489.36;2013-02-15;2013-12-05;2015-04-21;36531.77
Y;37;38;7;M;BCR;PVE;M;858.67;1991-01-01;2009-01-02;2010-04-21;37418.2
Y;29;31;3;M;BCR;PVE;M;428.4;2009-01-01;2010-09-21;2014-03-21;13630.07
Y;52;54;13;M;BCR;SFE;M;13234.38;2015-01-01;2005-03-01;2003-10-29;70066.98
Y;61;62;5;M;BCR;PVE;F;835.94;1979-05-19;2014-12-01;2011-10-18;23331.09
Y;35;37;11;M;HGH;PVE;F;857.51;2011-11-01;2007-05-03;2006-05-19;41560.62
Y;30;31;4;M;BCR;PVE;F;477.38;2016-04-22;2014-01-13;2012-11-08;26338.16
Y;53;54;13;M;HGH;PVE;M;1643.08;1996-09-06;2002-09-30;2003-07-10;22873.07
Y;40;41;1;M;BCR;PVE;M;446.44;2015-02-12;2010-06-29;2016-03-22;17866.5
Y;41;42;13;M;BCR;PVE;M;3657.7;2012-06-10;2003-01-08;2003-09-22;64622.49
Y;34;35;9;M;BCR;PVE;M;846.15;2007-03-01;2015-04-16;2008-03-25;20260.01
Y;37;39;13;M;HGH;SFE;M;195.04;2004-01-01;2009-06-09;2004-01-06;32782.99
Y;28;29;4;S;MAS;PVE;M;1173.0;1994-01-01;2013-03-09;2013-03-11;49254.39
Y;25;26;13;S;BCR;PVE;F;923.08;2000-06-01;2015-09-01;2004-03-25;47645.15
Y;31;32;8;M;BCR;PVE;F;926.15;2013-05-01;2010-10-01;2008-07-09;59059.31
Y;35;36;1;M;HGH;STE;M;631.48;1985-03-23;2001-12-20;2016-03-18;53394.33
Y;48;49;10;M;BCR;PVE;M;674.07;2007-07-27;2012-08-01;2007-06-14;7569.71
Y;52;53;5;M;BCR;SFE;M;914.34;2015-08-01;2002-02-01;2012-01-19;68330.88
Y;54;55;11;M;BCR;STE;F;512.21;2005-12-01;2002-09-25;2005-09-12;25577.95
Y;36;37;11;M;BCR;STE;M;961.8;1982-01-01;2013-05-07;2006-01-27;47985.72
Y;28;29;6;S;HGH;STE;M;722.72;1998-12-01;2008-02-01;2010-09-16;31002.89
Y;38;39;12;S;BCR;PVE;M;1141.08;1995-10-01;2014-02-01;2004-10-01;18633.48
Y;28;29;1;M;HGH;STE;F;251.51;2014-10-01;2008-03-10;2016-01-13;20282.28
Y;38;39;12;M;BCR;PVE;F;398.24;2008-01-14;2005-04-18;2005-04-20;16463.46
Y;49;50;11;M;BCR;PVE;F;865.22;2014-09-01;2006-06-01;2005-09-24;27628.5
Y;30;31;7;S;HGH;PVE;M;621.76;1986-03-15;2010-05-24;2010-05-26;23725.46
Y;39;40;15;M;BCR;PVE;M;839.98;2012-01-01;2010-11-01;2001-12-22;36659.0
Y;38;39;12;M;BCR;PVE;M;1889.79;2007-01-01;2004-07-08;2004-07-14;45629.49
Y;33;34;3;M;BCR;PVE;F;730.25;2013-01-01;2014-08-01;2013-12-04;31934.03
Y;42;43;14;M;BCR;SFE;F;230.77;1998-09-01;2014-10-23;2003-03-12;21676.09
Y;51;52;4;W;SEC;RET;F;1259.38;1982-06-15;;2013-05-17;26371.39
Y;39;40;10;S;BCR;STE;F;724.06;1977-05-20;2014-01-13;2006-08-28;25277.45
Y;48;49;11;M;BCR;SFE;M;269.23;2007-01-01;2006-11-11;2006-01-26;37559.98
Y;29;29;1;S;HGH;PVE;M;1428.0;2007-06-05;2015-09-01;2016-01-22;103858.44
Y;38;39;11;S;HGH;STE;F;1040.33;1989-11-01;2005-12-12;2005-12-23;57972.46
Y;40;41;9;M;HGH;PVE;M;511.54;2015-04-01;2015-05-17;2008-04-02;37773.67
Y;31;32;1;S;HGH;OTH;M;461.58;1998-01-01;;2016-05-18;37764.98
Y;40;41;13;M;BCR;PVE;M;455.1;2010-01-01;2004-09-06;2004-03-29;18069.28
Y;54;55;10;M;PHD;STE;F;1235.23;1996-06-01;1996-01-01;2006-07-15;55170.04
Y;34;35;1;M;BCR;OTH;F;882.75;;;2016-03-22;44813.64
Y;31;32;8;S;BCR;PVE;M;1110.26;2016-08-26;2011-06-21;2009-01-06;61462.27
Y;36;37;9;M;PRS;SFE;F;339.87;1980-12-18;2013-07-03;2007-12-03;29731.41
Y;35;36;8;M;BCR;PVE;F;511.37;1981-06-24;2008-08-13;2008-08-13;18507.51
Y;35;36;11;M;BCR;PVE;F;1159.28;2009-10-01;2015-12-21;2006-05-31;63118.54
Y;55;56;12;D;HGH;PVE;M;1943.08;1961-10-19;2001-05-01;2005-04-15;26549.64
